,record_id,year,month,date
0,1,2012,8,2012-08-20
1,2,2012,8,2012-08-20
2,3,2012,8,2012-08-20
3,4,2012,8,2012-08-20
4,5,2012,8,2012-08-20
5,6,2012,8,2012-08-20
6,7,2012,8,2012-08-20
7,8,2012,8,2012-08-20
8,9,2012,8,2012-08-20
9,10,2012,8,2012-08-20
10,11,2012,8,2012-08-20
11,12,2012,8,2012-08-20
12,13,2012,8,2012-08-20
13,14,2012,8,2012-08-20
14,15,2012,8,2012-08-20
15,16,2012,8,2012-08-20
16,17,2012,8,2012-08-20
17,18,2012,8,2012-08-20
18,19,2012,8,2012-08-20
19,20,2012,8,2012-08-20
20,21,2012,8,2012-08-20
21,22,2012,8,2012-08-20
22,23,2012,8,2012-08-20
23,24,2012,8,2012-08-20
24,25,2012,8,2012-08-20
25,26,2012,8,2012-08-20
26,27,2012,8,2012-08-20
27,28,2012,8,2012-08-20
28,29,2012,8,2012-08-20
29,30,2012,8,2012-08-20
30,31,2012,8,2012-08-20
31,32,2012,8,2012-08-20
32,33,2012,8,2012-08-20
33,34,2012,8,2012-08-20
34,35,2012,8,2012-08-20
35,36,2012,8,2012-08-20
36,37,2012,8,2012-08-20
37,38,2012,8,2012-08-20
38,39,2012,8,2012-08-20
39,40,2012,8,2012-08-20
40,41,2012,8,2012-08-20
41,42,2012,8,2012-08-20
42,43,2012,8,2012-08-20
43,44,2012,8,2012-08-20
44,45,2012,8,2012-08-20
45,46,2012,8,2012-08-20
46,47,2012,8,2012-08-20
47,48,2012,8,2012-08-20
48,49,2012,8,2012-08-22
49,50,2012,8,2012-08-22
50,51,2012,8,2012-08-22
